UserID,VideoID,GlobalTime,VideoTime,FrameIdx,Pitch,Yaw,Roll,Qx,Qy,Qz,Qw,UI_Active,UI_Type,Phase
10,010,4.6163,0.0,0,2.01,354.6,0.35,-0.0174,0.0471,-0.0038,-0.9987,0,,Free-viewing Phase
10,010,4.6383,0.0,0,2.0,354.61,0.35,-0.0173,0.047,-0.0039,-0.9987,0,,Free-viewing Phase
10,010,4.6624,0.04,1,2.01,354.61,0.38,-0.0173,0.0471,-0.0041,-0.9987,0,,Free-viewing Phase
10,010,4.6848,0.08,2,2.01,354.61,0.39,-0.0174,0.0471,-0.0043,-0.9987,0,,Free-viewing Phase
10,010,4.7076,0.08,2,2.0,354.61,0.41,-0.0173,0.047,-0.0044,-0.9987,0,,Free-viewing Phase
10,010,4.7299,0.12,3,2.0,354.62,0.43,-0.0172,0.047,-0.0046,-0.9987,0,,Free-viewing Phase
10,010,4.7522,0.12,3,2.01,354.62,0.45,-0.0174,0.047,-0.0047,-0.9987,0,,Free-viewing Phase
10,010,4.7746,0.16,4,2.02,354.61,0.44,-0.0175,0.0471,-0.0047,-0.9987,0,,Free-viewing Phase
10,010,4.7971,0.16,4,2.04,354.61,0.42,-0.0176,0.0471,-0.0045,-0.9987,0,,Free-viewing Phase
10,010,4.8201,0.2,5,2.05,354.59,0.39,-0.0177,0.0473,-0.0042,-0.9987,0,,Free-viewing Phase
10,010,4.8416,0.2,5,2.05,354.59,0.36,-0.0177,0.0472,-0.004,-0.9987,0,,Free-viewing Phase
10,010,4.8646,0.24,6,2.05,354.58,0.34,-0.0177,0.0473,-0.0038,-0.9987,0,,Free-viewing Phase
10,010,4.8866,0.28,7,2.05,354.58,0.31,-0.0177,0.0473,-0.0035,-0.9987,0,,Free-viewing Phase
10,010,4.9086,0.28,7,2.04,354.57,0.28,-0.0176,0.0474,-0.0033,-0.9987,0,,Free-viewing Phase
10,010,4.9309,0.32,8,2.01,354.57,0.24,-0.0175,0.0474,-0.0029,-0.9987,0,,Free-viewing Phase
10,010,4.9531,0.32,8,1.99,354.58,0.18,-0.0173,0.0473,-0.0024,-0.9987,0,,Free-viewing Phase
10,010,4.9763,0.36,9,1.97,354.6,0.13,-0.0171,0.0471,-0.0019,-0.9987,0,,Free-viewing Phase
10,010,4.9975,0.36,9,1.95,354.62,0.08,-0.017,0.0469,-0.0015,-0.9988,0,,Free-viewing Phase
10,010,5.0204,0.4,10,1.93,354.66,0.03,-0.0168,0.0466,-0.001,-0.9988,0,,Free-viewing Phase
10,010,5.042,0.4,10,1.9,354.69,0.0,-0.0166,0.0463,-0.0008,-0.9988,0,,Free-viewing Phase
10,010,5.0649,0.44,11,1.89,354.74,359.97,-0.0165,0.0459,-0.0005,-0.9988,0,,Free-viewing Phase
10,010,5.0868,0.48,12,1.87,354.78,359.95,-0.0163,0.0455,-0.0003,-0.9988,0,,Free-viewing Phase
10,010,5.1087,0.48,12,1.85,354.83,359.88,-0.0162,0.0451,0.0003,-0.9989,0,,Free-viewing Phase
10,010,5.1312,0.52,13,1.84,354.89,359.82,-0.0161,0.0445,0.0009,-0.9989,0,,Free-viewing Phase
10,010,5.1532,0.52,13,1.82,354.96,359.77,-0.016,0.0439,0.0013,-0.9989,0,,Free-viewing Phase
10,010,5.1764,0.56,14,1.82,355.03,359.74,-0.016,0.0433,0.0016,-0.9989,0,,Free-viewing Phase
10,010,5.1976,0.56,14,1.81,355.13,359.69,-0.0159,0.0424,0.0021,-0.999,0,,Free-viewing Phase
10,010,5.2205,0.6,15,1.8,355.26,359.65,-0.0158,0.0413,0.0024,-0.999,0,,Free-viewing Phase
10,010,5.2422,0.6,15,1.78,355.4,359.61,-0.0157,0.0401,0.0028,-0.9991,0,,Free-viewing Phase
10,010,5.2655,0.64,16,1.77,355.58,359.58,-0.0156,0.0385,0.0031,-0.9991,0,,Free-viewing Phase
10,010,5.2869,0.68,17,1.75,355.82,359.55,-0.0154,0.0364,0.0034,-0.9992,0,,Free-viewing Phase
10,010,5.3089,0.68,17,1.74,356.06,359.54,-0.0153,0.0343,0.0035,-0.9993,0,,Free-viewing Phase
10,010,5.3313,0.72,18,1.72,356.29,359.54,-0.0151,0.0323,0.0035,-0.9994,0,,Free-viewing Phase
10,010,5.3533,0.72,18,1.71,356.54,359.47,-0.0151,0.0301,0.0042,-0.9994,0,,Free-viewing Phase
10,010,5.3766,0.76,19,1.7,356.79,359.42,-0.015,0.028,0.0046,-0.9995,0,,Free-viewing Phase
