UserID,VideoID,GlobalTime,VideoTime,FrameIdx,Pitch,Yaw,Roll,Qx,Qy,Qz,Qw,UI_Active,UI_Type,Phase
23,010,4.6507,0.0,0,348.49,334.94,24.33,0.1412,0.1904,-0.1834,-0.954,0,,Free-viewing Phase
23,010,4.6734,0.04,1,348.43,336.38,24.34,0.1394,0.1782,-0.1851,-0.9563,0,,Free-viewing Phase
23,010,4.6968,0.04,1,348.39,337.82,24.31,0.1373,0.1661,-0.1866,-0.9585,0,,Free-viewing Phase
23,010,4.7203,0.08,2,348.29,339.21,24.25,0.1358,0.1544,-0.1875,-0.9605,0,,Free-viewing Phase
23,010,4.7416,0.08,2,348.19,340.53,24.24,0.1345,0.1432,-0.1888,-0.9622,0,,Free-viewing Phase
23,010,4.7648,0.12,3,348.09,341.81,24.3,0.1332,0.1321,-0.1907,-0.9636,0,,Free-viewing Phase
23,010,4.7865,0.12,3,348.02,343.02,24.42,0.1319,0.1217,-0.1929,-0.9647,0,,Free-viewing Phase
23,010,4.8097,0.16,4,348.01,344.18,24.53,0.1301,0.1118,-0.1952,-0.9656,0,,Free-viewing Phase
23,010,4.8312,0.2,5,348.06,345.27,24.6,0.1279,0.1026,-0.1971,-0.9666,0,,Free-viewing Phase
23,010,4.8536,0.2,5,348.17,346.28,24.65,0.1253,0.0942,-0.1988,-0.9674,0,,Free-viewing Phase
23,010,4.8758,0.24,6,348.32,347.2,24.65,0.1225,0.0867,-0.2,-0.9682,0,,Free-viewing Phase
23,010,4.8982,0.24,6,348.48,347.98,24.65,0.1198,0.0804,-0.201,-0.9689,0,,Free-viewing Phase
23,010,4.9215,0.28,7,348.61,348.62,24.63,0.1176,0.0753,-0.2015,-0.9695,0,,Free-viewing Phase
23,010,4.9426,0.28,7,348.73,349.09,24.64,0.1157,0.0716,-0.2022,-0.9698,0,,Free-viewing Phase
23,010,4.9657,0.32,8,348.85,349.4,24.65,0.1141,0.0691,-0.2028,-0.9701,0,,Free-viewing Phase
23,010,4.9871,0.32,8,349.01,349.58,24.61,0.1125,0.068,-0.2028,-0.9704,0,,Free-viewing Phase
