UserID,VideoID,GlobalTime,VideoTime,FrameIdx,Pitch,Yaw,Roll,Qx,Qy,Qz,Qw,UI_Active,UI_Type,Phase
31,010,4.6221,0.0,0,353.95,355.71,4.92,0.0543,0.035,-0.0408,-0.9971,0,,Free-viewing Phase
31,010,4.6452,0.04,1,353.63,355.82,5.03,0.0571,0.0339,-0.0418,-0.9969,0,,Free-viewing Phase
31,010,4.668,0.04,1,352.76,356.0,4.64,0.0645,0.0322,-0.0382,-0.9967,0,,Free-viewing Phase
31,010,4.6917,0.08,2,352.07,356.06,4.49,0.0704,0.0315,-0.0367,-0.9963,0,,Free-viewing Phase
31,010,4.7136,0.08,2,351.85,356.17,4.46,0.0722,0.0305,-0.0364,-0.9963,0,,Free-viewing Phase
31,010,4.7369,0.12,3,351.63,356.19,4.69,0.0742,0.0301,-0.0384,-0.996,0,,Free-viewing Phase
31,010,4.7588,0.12,3,351.57,356.26,4.74,0.0748,0.0295,-0.0389,-0.996,0,,Free-viewing Phase
31,010,4.7818,0.16,4,351.45,356.3,4.76,0.0758,0.0291,-0.039,-0.9959,0,,Free-viewing Phase
31,010,4.8034,0.2,5,351.44,356.34,4.8,0.0758,0.0287,-0.0394,-0.9959,0,,Free-viewing Phase
31,010,4.8258,0.2,5,351.35,356.4,4.65,0.0766,0.0283,-0.0381,-0.9959,0,,Free-viewing Phase
31,010,4.848,0.24,6,351.46,356.6,4.74,0.0756,0.0265,-0.039,-0.996,0,,Free-viewing Phase
31,010,4.8701,0.24,6,351.39,356.74,4.77,0.0761,0.0252,-0.0393,-0.996,0,,Free-viewing Phase
31,010,4.8933,0.28,7,351.08,356.84,4.73,0.0788,0.0243,-0.039,-0.9958,0,,Free-viewing Phase
31,010,4.9147,0.28,7,350.81,356.96,4.7,0.0811,0.0231,-0.0388,-0.9957,0,,Free-viewing Phase
31,010,4.9376,0.32,8,350.65,357.11,4.79,0.0825,0.0217,-0.0395,-0.9956,0,,Free-viewing Phase
31,010,4.9593,0.32,8,350.63,357.16,4.87,0.0826,0.0212,-0.0403,-0.9955,0,,Free-viewing Phase
31,010,4.9824,0.36,9,350.73,357.18,4.88,0.0817,0.0211,-0.0404,-0.9956,0,,Free-viewing Phase
31,010,5.0037,0.4,10,350.85,357.14,4.85,0.0807,0.0215,-0.0402,-0.9957,0,,Free-viewing Phase
31,010,5.0258,0.4,10,350.98,357.08,4.84,0.0796,0.0221,-0.04,-0.9958,0,,Free-viewing Phase
31,010,5.0482,0.44,11,350.99,357.04,4.83,0.0796,0.0224,-0.0399,-0.9958,0,,Free-viewing Phase
31,010,5.0703,0.44,11,350.84,357.05,4.77,0.0808,0.0223,-0.0394,-0.9957,0,,Free-viewing Phase
31,010,5.0934,0.48,12,350.68,357.14,4.68,0.0821,0.0215,-0.0387,-0.9956,0,,Free-viewing Phase
31,010,5.1148,0.48,12,350.61,357.24,4.66,0.0828,0.0206,-0.0385,-0.9956,0,,Free-viewing Phase
31,010,5.1378,0.52,13,350.55,357.35,4.68,0.0832,0.0197,-0.0388,-0.9956,0,,Free-viewing Phase
31,010,5.1595,0.56,14,350.48,357.47,4.67,0.0837,0.0186,-0.0388,-0.9956,0,,Free-viewing Phase
31,010,5.1817,0.56,14,350.33,357.64,4.59,0.085,0.0172,-0.0382,-0.9955,0,,Free-viewing Phase
31,010,5.2039,0.6,15,350.15,357.75,4.47,0.0865,0.0162,-0.0372,-0.9954,0,,Free-viewing Phase
31,010,5.2261,0.6,15,350.06,357.91,4.39,0.0872,0.0148,-0.0366,-0.9954,0,,Free-viewing Phase
31,010,5.2484,0.64,16,350.14,358.07,4.31,0.0865,0.0135,-0.036,-0.9955,0,,Free-viewing Phase
31,010,5.2706,0.64,16,350.23,358.27,4.11,0.0856,0.012,-0.0344,-0.9957,0,,Free-viewing Phase
31,010,5.2936,0.68,17,350.17,358.42,3.94,0.0861,0.0108,-0.0331,-0.9957,0,,Free-viewing Phase
31,010,5.3149,0.68,17,350.11,358.57,3.87,0.0866,0.0095,-0.0325,-0.9957,0,,Free-viewing Phase
31,010,5.3381,0.72,18,350.16,358.79,3.79,0.086,0.0077,-0.0321,-0.9957,0,,Free-viewing Phase
31,010,5.3596,0.76,19,350.16,359.07,3.65,0.086,0.0053,-0.031,-0.9958,0,,Free-viewing Phase
31,010,5.3818,0.76,19,350.13,359.43,3.54,0.0862,0.0023,-0.0304,-0.9958,0,,Free-viewing Phase
31,010,5.4041,0.8,20,350.17,359.8,3.54,0.0857,-0.0009,-0.0307,-0.9959,0,,Free-viewing Phase
31,010,5.4262,0.8,20,350.2,0.23,3.55,0.0853,-0.0046,-0.031,-0.9959,0,,Free-viewing Phase
31,010,5.4485,0.84,21,350.2,0.69,3.61,0.0852,-0.0087,-0.0319,-0.9958,0,,Free-viewing Phase
31,010,5.4707,0.84,21,350.13,1.23,3.67,0.0857,-0.0134,-0.0329,-0.9957,0,,Free-viewing Phase
31,010,5.4938,0.88,22,349.96,1.86,3.74,0.0869,-0.019,-0.034,-0.9955,0,,Free-viewing Phase
31,010,5.5151,0.88,22,349.88,2.67,3.85,0.0873,-0.0262,-0.0355,-0.9952,0,,Free-viewing Phase
31,010,5.5381,0.92,23,349.84,3.52,4.01,0.0874,-0.0337,-0.0376,-0.9949,0,,Free-viewing Phase
31,010,5.5598,0.96,24,349.76,4.45,4.11,0.0877,-0.0419,-0.0392,-0.9945,0,,Free-viewing Phase
31,010,5.5819,0.96,24,349.66,5.53,4.15,0.0882,-0.0513,-0.0403,-0.994,0,,Free-viewing Phase
31,010,5.6043,1.0,25,349.54,6.59,4.19,0.0888,-0.0606,-0.0416,-0.9933,0,,Free-viewing Phase
31,010,5.6264,1.0,25,349.38,7.66,4.25,0.0898,-0.0699,-0.043,-0.9926,0,,Free-viewing Phase
31,010,5.6486,1.04,26,349.26,8.73,4.3,0.0904,-0.0792,-0.0443,-0.9918,0,,Free-viewing Phase
31,010,5.6708,1.04,26,349.17,9.89,4.4,0.0907,-0.0893,-0.0462,-0.9908,0,,Free-viewing Phase
31,010,5.6938,1.08,27,349.06,11.04,4.49,0.0911,-0.0994,-0.048,-0.9897,0,,Free-viewing Phase
31,010,5.7153,1.08,27,348.94,12.11,4.57,0.0916,-0.1087,-0.0496,-0.9886,0,,Free-viewing Phase
31,010,5.7384,1.12,28,348.9,13.19,4.63,0.0914,-0.1181,-0.0511,-0.9875,0,,Free-viewing Phase
31,010,5.7598,1.16,29,348.76,14.24,4.69,0.0921,-0.1272,-0.0526,-0.9862,0,,Free-viewing Phase
31,010,5.7821,1.16,29,348.61,15.2,4.74,0.0929,-0.1356,-0.0539,-0.9849,0,,Free-viewing Phase
31,010,5.8043,1.2,30,348.47,16.07,4.79,0.0936,-0.1431,-0.0552,-0.9837,0,,Free-viewing Phase
31,010,5.8265,1.2,30,348.39,16.91,4.86,0.0937,-0.1504,-0.0566,-0.9825,0,,Free-viewing Phase
31,010,5.8487,1.24,31,348.34,17.65,4.99,0.0936,-0.1568,-0.0584,-0.9814,0,,Free-viewing Phase
31,010,5.8709,1.24,31,348.25,18.37,5.21,0.0937,-0.1632,-0.0609,-0.9802,0,,Free-viewing Phase
31,010,5.894,1.28,32,348.16,19.13,5.45,0.0937,-0.1699,-0.0637,-0.9789,0,,Free-viewing Phase
31,010,5.9155,1.28,32,348.1,19.82,5.7,0.0935,-0.176,-0.0665,-0.9777,0,,Free-viewing Phase
31,010,5.9385,1.32,33,348.12,20.48,5.88,0.0926,-0.1818,-0.0686,-0.9766,0,,Free-viewing Phase
31,010,5.96,1.36,34,348.09,21.16,6.03,0.0922,-0.1877,-0.0704,-0.9753,0,,Free-viewing Phase
31,010,5.9822,1.36,34,348.01,21.89,6.17,0.0922,-0.1941,-0.0723,-0.974,0,,Free-viewing Phase
31,010,6.0045,1.4,35,347.91,22.59,6.28,0.0924,-0.2001,-0.074,-0.9726,0,,Free-viewing Phase
31,010,6.0266,1.4,35,347.83,23.21,6.37,0.0926,-0.2055,-0.0754,-0.9713,0,,Free-viewing Phase
31,010,6.0489,1.44,36,347.73,23.74,6.48,0.0929,-0.2101,-0.0769,-0.9702,0,,Free-viewing Phase
31,010,6.071,1.44,36,347.67,24.14,6.56,0.0929,-0.2136,-0.0781,-0.9694,0,,Free-viewing Phase
31,010,6.0942,1.48,37,347.63,24.47,6.6,0.093,-0.2164,-0.0787,-0.9687,0,,Free-viewing Phase
31,010,6.1155,1.48,37,347.55,24.69,6.65,0.0934,-0.2183,-0.0795,-0.9681,0,,Free-viewing Phase
31,010,6.1384,1.52,38,347.49,24.87,6.73,0.0936,-0.22,-0.0804,-0.9677,0,,Free-viewing Phase
31,010,6.1601,1.56,39,347.42,25.08,6.78,0.094,-0.2218,-0.0811,-0.9672,0,,Free-viewing Phase
31,010,6.1823,1.56,39,347.32,25.3,6.85,0.0946,-0.2237,-0.0821,-0.9666,0,,Free-viewing Phase
31,010,6.2045,1.6,40,347.2,25.74,6.93,0.0951,-0.2275,-0.0833,-0.9655,0,,Free-viewing Phase
31,010,6.2267,1.6,40,347.07,26.33,6.95,0.0957,-0.2325,-0.0843,-0.9642,0,,Free-viewing Phase
31,010,6.249,1.64,41,346.89,27.06,6.95,0.0967,-0.2387,-0.0852,-0.9625,0,,Free-viewing Phase
31,010,6.2712,1.64,41,346.74,28.09,6.92,0.0973,-0.2474,-0.0861,-0.9602,0,,Free-viewing Phase
31,010,6.2942,1.68,42,346.63,29.36,6.9,0.0973,-0.258,-0.0873,-0.9573,0,,Free-viewing Phase
31,010,6.3158,1.68,42,346.58,30.74,6.8,0.0969,-0.2695,-0.0877,-0.9541,0,,Free-viewing Phase
31,010,6.3387,1.72,43,346.55,32.26,6.68,0.0962,-0.282,-0.088,-0.9505,0,,Free-viewing Phase
31,010,6.3602,1.76,44,346.47,33.83,6.63,0.0958,-0.295,-0.0891,-0.9465,0,,Free-viewing Phase
31,010,6.3824,1.76,44,346.42,35.43,6.57,0.0951,-0.3081,-0.0901,-0.9423,0,,Free-viewing Phase
31,010,6.4047,1.8,45,346.46,37.02,6.52,0.0937,-0.3211,-0.0909,-0.938,0,,Free-viewing Phase
31,010,6.4269,1.8,45,346.48,38.64,6.5,0.0922,-0.3343,-0.092,-0.9334,0,,Free-viewing Phase
31,010,6.4491,1.84,46,346.4,40.35,6.46,0.0917,-0.3482,-0.0933,-0.9282,0,,Free-viewing Phase
31,010,6.4713,1.84,46,346.25,42.04,6.36,0.0918,-0.3618,-0.0942,-0.9229,0,,Free-viewing Phase
31,010,6.4943,1.88,47,346.18,43.65,6.22,0.0915,-0.3746,-0.0947,-0.9178,0,,Free-viewing Phase
31,010,6.5161,1.88,47,346.09,45.25,6.12,0.0912,-0.3873,-0.0955,-0.9124,0,,Free-viewing Phase
31,010,6.5388,1.92,48,345.98,46.78,6.09,0.091,-0.3994,-0.0968,-0.9071,0,,Free-viewing Phase
31,010,6.5603,1.96,49,345.92,48.23,5.98,0.0905,-0.4108,-0.0973,-0.902,0,,Free-viewing Phase
31,010,6.5825,1.96,49,345.83,49.63,5.75,0.0909,-0.4216,-0.0968,-0.897,0,,Free-viewing Phase
31,010,6.6051,2.0,50,345.75,50.93,5.51,0.0913,-0.4315,-0.0963,-0.8923,0,,Free-viewing Phase
31,010,6.627,2.0,50,345.71,52.2,5.31,0.0914,-0.4412,-0.0959,-0.8876,0,,Free-viewing Phase
31,010,6.6492,2.04,51,345.74,53.4,5.11,0.0909,-0.4504,-0.0952,-0.8831,0,,Free-viewing Phase
31,010,6.6714,2.04,51,345.88,54.54,4.88,0.0898,-0.459,-0.0938,-0.8789,0,,Free-viewing Phase
31,010,6.6947,2.08,52,346.05,55.66,4.6,0.0887,-0.4673,-0.0919,-0.8748,0,,Free-viewing Phase
31,010,6.7161,2.08,52,346.17,56.81,4.22,0.0885,-0.4758,-0.0894,-0.8705,0,,Free-viewing Phase
31,010,6.7387,2.12,53,346.37,57.84,3.88,0.0876,-0.4834,-0.0868,-0.8667,0,,Free-viewing Phase
31,010,6.7604,2.16,54,346.62,58.82,3.68,0.0858,-0.4907,-0.085,-0.8629,0,,Free-viewing Phase
31,010,6.7827,2.16,54,346.92,59.81,3.52,0.0834,-0.4981,-0.0832,-0.8591,0,,Free-viewing Phase
31,010,6.8049,2.2,55,347.18,60.8,3.3,0.0817,-0.5054,-0.0811,-0.8552,0,,Free-viewing Phase
31,010,6.8272,2.2,55,347.39,61.76,3.04,0.0807,-0.5124,-0.079,-0.8513,0,,Free-viewing Phase
31,010,6.8494,2.24,56,347.46,62.74,2.85,0.0803,-0.5196,-0.078,-0.847,0,,Free-viewing Phase
31,010,6.8715,2.24,56,347.42,63.97,2.71,0.0805,-0.5285,-0.078,-0.8415,0,,Free-viewing Phase
31,010,6.8947,2.28,57,347.43,65.26,2.55,0.0803,-0.5379,-0.0776,-0.8356,0,,Free-viewing Phase
31,010,6.9162,2.28,57,347.51,66.69,2.22,0.0802,-0.5481,-0.0759,-0.8291,0,,Free-viewing Phase
31,010,6.939,2.32,58,347.67,68.15,1.81,0.0801,-0.5584,-0.0731,-0.8225,0,,Free-viewing Phase
31,010,6.9607,2.36,59,347.77,69.72,1.51,0.0799,-0.5694,-0.0716,-0.815,0,,Free-viewing Phase
31,010,6.9827,2.36,59,347.8,71.42,1.31,0.0796,-0.5813,-0.0712,-0.8066,0,,Free-viewing Phase
31,010,7.005,2.4,60,347.84,73.19,1.23,0.0787,-0.5937,-0.0717,-0.7976,0,,Free-viewing Phase
31,010,7.0271,2.4,60,347.81,75.18,1.3,0.0773,-0.6074,-0.0737,-0.7872,0,,Free-viewing Phase
31,010,7.0494,2.44,61,347.76,77.35,1.42,0.0755,-0.6223,-0.0762,-0.7754,0,,Free-viewing Phase
31,010,7.0716,2.44,61,347.67,79.67,1.58,0.0737,-0.6379,-0.0793,-0.7625,0,,Free-viewing Phase
31,010,7.095,2.48,62,347.47,82.13,1.92,0.0713,-0.6542,-0.0842,-0.7482,0,,Free-viewing Phase
31,010,7.1163,2.48,62,347.22,84.72,2.29,0.0688,-0.6711,-0.0896,-0.7327,0,,Free-viewing Phase
31,010,7.1391,2.52,63,347.13,87.39,2.59,0.0655,-0.6881,-0.0937,-0.7165,0,,Free-viewing Phase
31,010,7.1607,2.56,64,347.1,90.05,2.92,0.0615,-0.7047,-0.0973,-0.7001,0,,Free-viewing Phase
31,010,7.1829,2.56,64,347.02,92.85,3.27,0.0574,-0.7217,-0.1014,-0.6823,0,,Free-viewing Phase
31,010,7.2052,2.6,65,346.97,95.62,3.52,0.0536,-0.7381,-0.1045,-0.6644,0,,Free-viewing Phase
31,010,7.2272,2.6,65,346.94,98.24,3.75,0.0498,-0.7532,-0.1072,-0.6471,0,,Free-viewing Phase
31,010,7.2496,2.64,66,346.82,100.84,3.91,0.0469,-0.7677,-0.11,-0.6296,0,,Free-viewing Phase
31,010,7.2717,2.64,66,346.8,103.28,3.91,0.0447,-0.7809,-0.1111,-0.613,0,,Free-viewing Phase
31,010,7.2951,2.68,67,346.84,105.6,4.02,0.0415,-0.7932,-0.1123,-0.5971,0,,Free-viewing Phase
31,010,7.3168,2.68,67,347.07,107.95,4.27,0.0362,-0.8055,-0.1127,-0.5806,0,,Free-viewing Phase
31,010,7.339,2.72,68,347.37,110.27,4.4,0.0316,-0.8173,-0.112,-0.5643,0,,Free-viewing Phase
31,010,7.3606,2.76,69,347.73,112.44,4.62,0.0261,-0.8281,-0.1111,-0.5488,0,,Free-viewing Phase
31,010,7.383,2.76,69,347.9,114.79,4.94,0.0206,-0.8394,-0.1118,-0.5315,0,,Free-viewing Phase
31,010,7.4052,2.8,70,348.05,117.16,5.19,0.0158,-0.8503,-0.1122,-0.5139,0,,Free-viewing Phase
31,010,7.4272,2.8,70,348.16,119.44,5.3,0.0122,-0.8605,-0.1122,-0.4969,0,,Free-viewing Phase
31,010,7.4496,2.84,71,348.17,121.78,5.41,0.009,-0.8705,-0.1128,-0.4791,0,,Free-viewing Phase
31,010,7.4718,2.84,71,348.14,123.85,5.63,0.0054,-0.879,-0.1141,-0.463,0,,Free-viewing Phase
31,010,7.4951,2.88,72,348.02,125.71,5.97,0.0015,-0.8863,-0.1163,-0.4483,0,,Free-viewing Phase
31,010,7.5167,2.88,72,347.78,127.4,6.2,-0.0011,-0.8927,-0.1191,-0.4347,0,,Free-viewing Phase
31,010,7.5394,2.92,73,347.51,128.93,6.32,-0.0026,-0.8982,-0.1216,-0.4225,0,,Free-viewing Phase
31,010,7.5609,2.96,74,347.17,130.19,6.55,-0.0045,-0.9025,-0.1251,-0.412,0,,Free-viewing Phase
31,010,7.5832,2.96,74,346.82,131.41,6.77,-0.0063,-0.9066,-0.1286,-0.4018,0,,Free-viewing Phase
31,010,7.6055,3.0,75,346.51,132.7,6.75,-0.0065,-0.9109,-0.1308,-0.3914,0,,Free-viewing Phase
31,010,7.6276,3.0,75,346.37,133.95,6.68,-0.0069,-0.915,-0.1316,-0.3814,0,,Free-viewing Phase
31,010,7.6499,3.04,76,346.39,135.38,6.75,-0.0092,-0.9197,-0.1316,-0.3698,0,,Free-viewing Phase
31,010,7.6721,3.04,76,346.4,136.88,6.73,-0.0108,-0.9244,-0.1313,-0.3578,0,,Free-viewing Phase
31,010,7.6958,3.08,77,346.51,138.24,6.62,-0.0118,-0.9287,-0.13,-0.347,0,,Free-viewing Phase
31,010,7.7169,3.08,77,346.58,139.52,6.78,-0.0148,-0.9326,-0.1297,-0.3365,0,,Free-viewing Phase
31,010,7.7397,3.12,78,346.61,140.72,7.11,-0.0189,-0.936,-0.1303,-0.3263,0,,Free-viewing Phase
31,010,7.7612,3.16,79,346.72,141.92,7.16,-0.021,-0.9395,-0.1293,-0.3166,0,,Free-viewing Phase
31,010,7.7835,3.16,79,346.89,143.04,7.27,-0.0236,-0.9426,-0.128,-0.3074,0,,Free-viewing Phase
31,010,7.8056,3.2,80,346.91,144.24,7.64,-0.0281,-0.9457,-0.1286,-0.2971,0,,Free-viewing Phase
31,010,7.8278,3.2,80,346.99,145.44,7.91,-0.0319,-0.9488,-0.1283,-0.287,0,,Free-viewing Phase
31,010,7.8508,3.24,81,347.13,146.54,8.2,-0.0359,-0.9515,-0.1275,-0.2776,0,,Free-viewing Phase
31,010,7.8724,3.24,81,347.24,147.71,8.69,-0.0415,-0.9542,-0.1274,-0.2675,0,,Free-viewing Phase
31,010,7.8958,3.28,82,347.47,148.85,9.02,-0.0461,-0.9569,-0.1258,-0.2578,0,,Free-viewing Phase
31,010,7.9172,3.28,82,347.65,149.93,9.38,-0.0507,-0.9592,-0.1246,-0.2485,0,,Free-viewing Phase
31,010,7.9398,3.32,83,347.79,151.11,9.72,-0.0551,-0.9617,-0.1236,-0.2384,0,,Free-viewing Phase
31,010,7.9613,3.36,84,347.96,152.33,9.82,-0.0576,-0.9642,-0.1218,-0.2282,0,,Free-viewing Phase
31,010,7.9835,3.36,84,348.28,153.48,9.99,-0.061,-0.9666,-0.1189,-0.2187,0,,Free-viewing Phase
31,010,8.0058,3.4,85,348.64,154.53,10.34,-0.0657,-0.9686,-0.1159,-0.2098,0,,Free-viewing Phase
31,010,8.028,3.4,85,348.98,155.68,10.29,-0.0671,-0.9709,-0.1123,-0.2004,0,,Free-viewing Phase
31,010,8.051,3.44,86,349.37,156.59,10.1,-0.0671,-0.9729,-0.1081,-0.1932,0,,Free-viewing Phase
31,010,8.0724,3.44,86,349.69,157.35,10.25,-0.0697,-0.9742,-0.1052,-0.1869,0,,Free-viewing Phase
31,010,8.0962,3.48,87,349.83,157.98,10.57,-0.0732,-0.9751,-0.1042,-0.1814,0,,Free-viewing Phase
31,010,8.1175,3.48,87,349.96,158.36,10.8,-0.0757,-0.9757,-0.1032,-0.1781,0,,Free-viewing Phase
31,010,8.1396,3.52,88,350.25,158.68,10.99,-0.0781,-0.9762,-0.1008,-0.1755,0,,Free-viewing Phase
31,010,8.1617,3.56,89,350.42,159.18,11.03,-0.0792,-0.977,-0.0991,-0.1714,0,,Free-viewing Phase
31,010,8.1838,3.56,89,350.6,159.82,10.88,-0.0787,-0.9782,-0.0968,-0.1662,0,,Free-viewing Phase
31,010,8.2059,3.6,90,350.71,160.45,10.76,-0.0784,-0.9792,-0.0953,-0.161,0,,Free-viewing Phase
31,010,8.2281,3.6,90,350.71,161.11,10.84,-0.0797,-0.9801,-0.095,-0.1553,0,,Free-viewing Phase
31,010,8.2512,3.64,91,350.6,161.68,10.87,-0.0802,-0.9807,-0.0956,-0.1503,0,,Free-viewing Phase
31,010,8.2725,3.64,91,350.46,162.11,11.05,-0.0819,-0.9811,-0.0967,-0.1463,0,,Free-viewing Phase
31,010,8.296,3.68,92,350.42,162.37,11.39,-0.085,-0.9811,-0.0972,-0.1437,0,,Free-viewing Phase
31,010,8.3174,3.68,92,350.36,162.57,11.79,-0.0885,-0.9811,-0.0981,-0.1417,0,,Free-viewing Phase
31,010,8.3401,3.72,93,350.29,162.78,11.98,-0.0902,-0.9811,-0.0988,-0.1397,0,,Free-viewing Phase
31,010,8.3616,3.76,94,350.32,162.92,12.14,-0.0918,-0.9812,-0.0986,-0.1384,0,,Free-viewing Phase
31,010,8.3839,3.76,94,350.42,163.04,12.39,-0.0941,-0.9812,-0.098,-0.1371,0,,Free-viewing Phase
31,010,8.4063,3.8,95,350.51,163.24,12.44,-0.0948,-0.9814,-0.0971,-0.1356,0,,Free-viewing Phase
31,010,8.4282,3.8,95,350.54,163.35,12.46,-0.0951,-0.9816,-0.0968,-0.1346,0,,Free-viewing Phase
31,010,8.4507,3.84,96,350.49,163.32,12.65,-0.0967,-0.9813,-0.0974,-0.1347,0,,Free-viewing Phase
31,010,8.4726,3.84,96,350.31,163.2,12.98,-0.0991,-0.9808,-0.0994,-0.1352,0,,Free-viewing Phase
31,010,8.4964,3.88,97,350.19,162.88,13.26,-0.1012,-0.9801,-0.1011,-0.1376,0,,Free-viewing Phase
31,010,8.5173,3.88,97,350.37,162.43,13.59,-0.1038,-0.9794,-0.1004,-0.1413,0,,Free-viewing Phase
31,010,8.5401,3.92,98,350.67,161.97,13.9,-0.1065,-0.9787,-0.0986,-0.1453,0,,Free-viewing Phase
31,010,8.5614,3.96,99,350.86,161.38,14.17,-0.1086,-0.9778,-0.0979,-0.1503,0,,Free-viewing Phase
31,010,8.5836,3.96,99,351.08,160.67,14.29,-0.1093,-0.9768,-0.0969,-0.1566,0,,Free-viewing Phase
31,010,8.6059,4.0,100,351.19,160.01,14.24,-0.1085,-0.976,-0.0965,-0.1623,0,,Free-viewing Phase
31,010,8.628,4.0,100,351.27,159.29,14.28,-0.1083,-0.9749,-0.0966,-0.1685,0,,Free-viewing Phase
31,010,8.651,4.04,101,351.39,158.59,14.33,-0.1084,-0.9739,-0.0963,-0.1745,0,,Free-viewing Phase
31,010,8.6725,4.04,101,351.5,158.04,14.33,-0.1081,-0.9731,-0.0959,-0.1794,0,,Free-viewing Phase
31,010,8.6958,4.08,102,351.56,157.54,14.3,-0.1076,-0.9724,-0.0958,-0.1837,0,,Free-viewing Phase
31,010,8.7178,4.08,102,351.57,157.11,14.33,-0.1074,-0.9716,-0.0962,-0.1874,0,,Free-viewing Phase
31,010,8.7403,4.12,103,351.46,156.65,14.4,-0.1074,-0.9708,-0.0976,-0.191,0,,Free-viewing Phase
31,010,8.7618,4.16,104,351.47,156.22,14.41,-0.1072,-0.9701,-0.0979,-0.1947,0,,Free-viewing Phase
31,010,8.7841,4.16,104,351.61,155.84,14.32,-0.1064,-0.9695,-0.097,-0.1982,0,,Free-viewing Phase
31,010,8.8065,4.2,105,351.77,155.38,14.31,-0.1062,-0.9688,-0.0961,-0.2023,0,,Free-viewing Phase
31,010,8.8286,4.2,105,351.77,155.05,14.28,-0.1056,-0.9682,-0.0963,-0.2051,0,,Free-viewing Phase
31,010,8.8517,4.24,106,351.72,154.74,14.16,-0.1043,-0.9678,-0.0968,-0.2077,0,,Free-viewing Phase
31,010,8.8728,4.24,106,351.76,154.53,14.01,-0.1029,-0.9676,-0.0964,-0.2097,0,,Free-viewing Phase
